iter	RMSE
130	0.05531892544
131	0.05481835758
132	0.05419384989
133	0.05377824423
134	0.05344868414
135	0.05314180706
136	0.05309854416
137	0.05273459604
138	0.05238078171
139	0.05189792958
140	0.05129165949
141	0.0508827921
142	0.05084982822
143	0.05058456433
144	0.05015133671
145	0.04972980104
146	0.04968575507
147	0.04916981179
148	0.04881792305
149	0.04878525702
150	0.04853504023
151	0.04816711086
152	0.04813877956
153	0.04783378067
154	0.04751571698
155	0.047319438
156	0.04691610907
157	0.04661570016
158	0.04610180471
159	0.04554042746
160	0.04522628868
161	0.04519514566
162	0.04479842223
163	0.04454612318
164	0.04406170701
165	0.04371320942
166	0.04340633114
167	0.04329192344
168	0.04308418848
169	0.04297504629
170	0.04252079836
171	0.04236925107
172	0.04202945491
173	0.04184261256
174	0.04166804585
175	0.04123984903
176	0.04098603048
177	0.04064141427
178	0.04035300741
179	0.03993573662
180	0.03948404159
181	0.03914695996
182	0.03887062844
183	0.03853555636
184	0.03851523341
185	0.03820308915
186	0.03819033768
187	0.03796111033
188	0.03779165529
189	0.03753344385
190	0.03740053267
191	0.03733076749
192	0.03714814719
193	0.03640220208
194	0.03609892887
195	0.03593192588
196	0.03566407515
197	0.03518870796
198	0.03507936892
199	0.03490592367
200	0.03444346268
201	0.0343276417
202	0.03402194129
203	0.03382340125
204	0.03351987147
205	0.03322613604
206	0.03305875885
207	0.03304605031
208	0.03284689435
209	0.03254021363
210	0.03239144399
211	0.03216258832
212	0.03202487524
213	0.03181193659
214	0.0316805389
215	0.03145997177
216	0.03141931591
217	0.03120310366
218	0.0310575491
219	0.03065326964
220	0.0304657343
221	0.0302114635
222	0.03001546908
223	0.02981781745
224	0.02939741918
225	0.02930194888
226	0.02913692294
227	0.02896078948
228	0.02883646293
229	0.02867918579
230	0.02853434955
231	0.02835465814
232	0.02807282702
233	0.02780902938
234	0.02768857381
235	0.02749100221
236	0.02723259285
237	0.02706029933
238	0.02674514867
239	0.02663395041
240	0.02651706604
241	0.02623470164
242	0.02597006266
243	0.02588144653
244	0.02578811546
245	0.02561930557
246	0.0254108124
247	0.02539616037
248	0.02522954763
249	0.02511934275
250	0.02492963657
251	0.02482479237
252	0.02458123284
253	0.02437754226
254	0.02431227006
255	0.02424129469
256	0.02414485647
257	0.02400892084
258	0.0238330358
259	0.02372909223
260	0.02360281161
261	0.02338398861
262	0.02323287612
263	0.02314820105
264	0.02307936058
265	0.0228948961
266	0.02278098556
267	0.02264103599
268	0.02250422627
269	0.02235935995
270	0.02225906944
271	0.02207952426
272	0.02194942599
273	0.02189477713
274	0.02167690813
275	0.02144798024
276	0.02122463282
277	0.0210651938
278	0.02091270415
279	0.02075072372
280	0.02058416636
281	0.0204168461
282	0.02039242514
283	0.02023551411
284	0.02003655151
285	0.02001556891
286	0.01977220447
287	0.01965860915
288	0.01955404898
289	0.01945843903
290	0.01932983119
291	0.01929400757
292	0.01926241208
293	0.01915633356
294	0.01908112267
295	0.01900189546
296	0.01882304804
297	0.01871757772
298	0.01855809942
299	0.01852692543
300	0.01835532939
301	0.01823252677
302	0.01814865788
303	0.01801689314
304	0.01793648496
305	0.01781970496
306	0.01765173017
307	0.01756329193
308	0.0174953275
309	0.0174410962
310	0.01734121655
311	0.01714029761
312	0.016903157
313	0.01674781148
314	0.01668649547
315	0.01664822465
316	0.01654250027
317	0.01647554586
318	0.01624593277
319	0.01605111693
320	0.01596627063
321	0.01593671033
322	0.01581013772
323	0.01574786849
324	0.01569639926
325	0.01560197976
326	0.01549492509
327	0.01541076306
328	0.01539923145
329	0.01535305792
330	0.01534707895
331	0.0152865826
332	0.01527952935
333	0.01527224467
334	0.01524546023
335	0.01516177537
336	0.01504509454
337	0.01499569467
338	0.01485054991
339	0.01476564439
340	0.01460763953
341	0.01452731138
342	0.01444170703
343	0.01432134051
344	0.01418667772
345	0.01411558495
346	0.01399251206
347	0.01394140203
348	0.0138940043
349	0.01381570243
350	0.01371275456
351	0.01361795294
352	0.01356100459
353	0.0135020157
354	0.0134974923
355	0.01344748159
356	0.01337838219
357	0.01329960146
358	0.01325763047
359	0.01322760205
360	0.01316858612
361	0.01307533859
362	0.01302835311
363	0.01292547663
364	0.01285124914
365	0.01268181518
366	0.01260364431
367	0.01252142505
368	0.01248354258
369	0.01243074602
370	0.01232138791
371	0.01227256862
372	0.01218516643
373	0.01208900224
374	0.01202080129
375	0.01199333788
376	0.01198881035
377	0.0119831629
378	0.01189798445
379	0.01183301474
380	0.01175440839
381	0.01168722794
382	0.01161137153
383	0.0116082928
384	0.01157214562
385	0.01150131554
386	0.01142873053
387	0.01137467115
388	0.01131933093
389	0.01121883301
390	0.01115981785
391	0.01109531706
392	0.01109200517
393	0.01106007897
394	0.01103411463
395	0.01097674524
396	0.01084999278
397	0.01084708695
398	0.01075420932
399	0.0106502117
400	0.01057336741
401	0.01057085427
402	0.01047797572
403	0.01046520886
404	0.0104466762
405	0.01035950694
406	0.01029528377
407	0.01027560586
408	0.01024882908
409	0.0102256333
410	0.0102011154
411	0.01011153859
412	0.01008838225
413	0.01005103438
414	0.009995515128
415	0.009869290434
416	0.00980348782
417	0.009748816051
418	0.00969460674
419	0.009665195126
420	0.009591698912
421	0.009514933753
422	0.009467901409
423	0.009428702814
424	0.009349193207
425	0.009278806208
426	0.009185873254
427	0.009133429364
428	0.009072512771
429	0.009014586939
430	0.00897332244
431	0.008934926293
432	0.008867389355
433	0.008806087562
434	0.008793071157
435	0.008766629117
436	0.008681766538
437	0.008679564709
438	0.008675074171
439	0.008631126945
440	0.008573313941
441	0.0085042238
442	0.008458568959
443	0.008455609807
444	0.008408004141
445	0.008403577114
446	0.008361607296
447	0.008331571502
448	0.008250496687
449	0.00821590378
450	0.008167308109
451	0.008082941666
452	0.008055445091
453	0.007987956589
454	0.007928604408
455	0.007894880911
456	0.007842503914
457	0.007805945519
458	0.007750209315
459	0.007681998628
460	0.007646184505
461	0.007602487254
462	0.007524875618
463	0.007478797671
464	0.00744162025
465	0.007421855374
466	0.007367982707
467	0.007321604241
468	0.007293000673
469	0.007260436935
470	0.007234956104
471	0.007174668738
472	0.007143983014
473	0.007086182297
474	0.007063745747
475	0.007032758223
476	0.006981815872
477	0.006950283356
478	0.006923830271
479	0.006853495058
480	0.006849502707
481	0.006847701394
482	0.006839265755
483	0.006780637695
484	0.006739616448
485	0.006705931882
486	0.006669140566
487	0.006608164294
488	0.006565174205
489	0.006529376092
490	0.006491140235
491	0.006487887935
492	0.006443842788
493	0.00643290519
494	0.00639685502
495	0.006382301511
496	0.006327631466
497	0.006293658749
498	0.006283117787
499	0.006267906994
